零;líng;zero
欢迎;huānyíng;to welcome
搬;bān;to move
还;huán;to return (sth)
接;jiē;to pick up
比较;bǐjiào;to compare
变化;biànhuà;to change
换;huàn;to exchange
借;jiè;to borrow
表示;biǎoshì;to express
要求;yāoqiú;to require
祝;zhù;to wish
注意;zhùyì;to pay attention to
表演;biǎoyǎn;to perform
参加;cānjiā;to attend
迟到;chídào;to be late
出现;chūxiàn;to appear
离开;líkāi;to leave
经过;jīngguò;to pass
练习;liànxí;to practice
提高;tígāo;to improve
检查;jiǎnchá;to check
打扫;dǎsǎo;to clean
相信;xiāngxìn;to believe
放心;fàngxīn;to rest assured
着急;zháojí;to worry
关心;guānxīn;to concern
照顾;zhàogù;to look after
分;fēn;to separate
长;zhǎng;to grow
敢;gǎn;to dare
害怕;hàipà;to fear
小心;xiǎoxīn;to be careful
影响;yǐngxiǎng;to affect
结婚;jiéhūn;to marry
举行;jǔxíng;to hold an event
会;huì;can
能;néng;can
可以;kěyǐ;can
必须;bìxū;must
应该;yīnggāi;should
愿意;yuànyì;to be willing to
下雨;xià yǔ;to rain
刮风;guā fēng; to blow
好;hǎo;good
坏;huài;bad
差;chà;bad
大;dà;big
小;xiǎo;small
多;duō;many
少;shǎo;few
热;rè;hot
冷;lěng;cold
快;kuài;fast
慢;màn;slow
远;yuǎn;far
近;jìn;near
对;duì;right
错;cuò;wrong
长;cháng;long
久;jiǔ;long
短;duǎn;short
高;gāo;tall or high
矮;ǎi;short
低;dī;low
胖;pàng;fat
瘦;shòu;thin
新;xīn;new
旧;jiù;old or used
年轻;niánqīng;young
老;lǎo;old
贵;guì;expensive
便宜;piányi;cheap
黑;hēi;black
白;bái;white
红;hóng;red
黄;huáng;yellow
蓝;lán;blue
绿;lǜ;green
晴;qíng;sunny
阴;yīn;cloudy
好吃;hǎochī;tasty
甜;tián;sweet
新鲜;xīnxiān;fresh
容易;róngyì;easy
简单;jiǎndān;simple
难;nán;difficult
奇怪;qíguài;strange
特别;tèbié;special
重要;zhòngyào;important
有名;yǒumíng;famous
漂亮;piàoliang;pretty
聪明;cōngming;smart
可爱;Kě’ài;cute
高兴;gāoxìng;happy
快乐;kuàilè;happy
难过;nánguò;sad
满意;mǎnyì;satisfied
忙;máng;busy
累;lèi;tired
饿;è;hungry
渴;kě;thirsty
饱;bǎo;full
相同;xiāngtóng;same
一样;yíyàng;same
主要;zhǔyào;main
方便;fāngbiàn;convenient
安静;ānjìng;quiet
干净;gānjìng;clean
清楚;qīngchu;clear
健康;jiànkāng;healthy
舒服;shūfu;comfortable
热情;rèqíng;enthusiastic
认真;rènzhēn;serious or careful
努力;nǔlì;studious or hardworking
很;hěn;very
非常;fēicháng;extremely
极;jí;extremely
太;tài;too
多么;duōme;how
都;dōu;both or all
不;bù;not
没;méi;not
每;měi;every
最;zuì;most
真;zhēn;really
也;yě;also
还;hái;still
再;zài;again
又;yòu;again
只;zhǐ;only
就;jiǜ;at once
马上;mǎshàng;immediately
才;cái;just
更;gèng;more
越;yuè;more
别;bié;don’t…
先;xiān;first
已经;yǐjīng;already
几乎;jīhū;almost
一定;yídìng;definitely
一起;yìqǐ;together
一共;yígòng;altogether
可能;kěnéng;maybe
其实;qíshí;actually
突然;tūrán;suddenly
正在;zhèngzài;indicating action in progress
一边;yìbiān;at the same time
终于;zhōngyú;finally
总是;zǒngshì;always
经常;jīngcháng;often
一般;yìbān;generally
一直;yìzhí;constantly
从;cóng;from
向;xiàng;towards
离;lí;away from
比;bǐ;than
跟;gēn;with
被;bèi;by
为;wèi;for
为了;wèile;for (purpose)
关于;guānyú;about, regarding
像;xiàng;as or like
除了;chúle;besides or except
根据;gēnjù;according to
的;de;possession particle
得;de;structure particle
地;de;structure particle
了;le;aspect particle
着;zhe;aspect particle
过;guò;aspect particle
吗;ma;question particle
呢;ne;question particle
吧;ba;question particle
啊;a;exclamatory particle
和;hé;and
但是;dànshì;but
虽然;suīrán;although
因为;yīnwèi;because
所以;suǒyǐ;so
还是;háishì;or
或者;huòzhě;or
然后;ránhòu;then, afterwards
如果;rúguǒ;if
而且;érqiě;moreover
喂;wèi;hello (on the phone)
谢谢;xièxie;thanks
不客气;bú kèqi;you’re welcome
再见;zàijiàn;goodbye
请;qǐng;please
对不起;duìbuqǐ;sorry
没关系;méi guānxi;it’s all right
当然;dāngrán;of course
